epoch,accuracy,loss,val_accuracy,val_loss
0,0.4085247814655304,1.32013738155365,0.4812680184841156,1.1590983867645264
1,0.5804041028022766,1.0015214681625366,0.5850144028663635,1.0311427116394043
2,0.6540271043777466,0.8488467335700989,0.5706051588058472,1.0350192785263062
3,0.7074453234672546,0.7369610071182251,0.5994236469268799,1.0263458490371704
4,0.7500692009925842,0.6483797430992126,0.5821325778961182,1.0224785804748535
5,0.7802380323410034,0.5765457153320312,0.5417867302894592,1.2257777452468872
6,0.8012731671333313,0.5296958088874817,0.579250693321228,1.1696621179580688
7,0.8242457509040833,0.4598141014575958,0.6167147159576416,1.207284927368164
8,0.8571823835372925,0.3953149914741516,0.5994236469268799,1.2427808046340942
9,0.8696374297142029,0.3572818636894226,0.5821325778961182,1.3578221797943115
10,0.8892886638641357,0.3034898638725281,0.5619596838951111,1.4174926280975342
11,0.8934403657913208,0.28586331009864807,0.579250693321228,1.5343372821807861
12,0.8865209221839905,0.3060024380683899,0.5763688683509827,1.4906786680221558
13,0.9158594012260437,0.22916582226753235,0.5821325778961182,1.642210841178894
14,0.9302518963813782,0.20678533613681793,0.579250693321228,1.6583036184310913
15,0.9216717481613159,0.213968887925148,0.5965417623519897,1.6896543502807617
16,0.9280376434326172,0.1967402696609497,0.5648415088653564,1.9677985906600952
17,0.9402158856391907,0.1677737683057785,0.590778112411499,1.8293685913085938
18,0.950179934501648,0.1372460126876831,0.6080691814422607,1.8980238437652588
19,0.9438139796257019,0.16121618449687958,0.5734870433807373,2.0038466453552246
20,0.9570993781089783,0.12759341299533844,0.579250693321228,1.996092677116394
21,0.9487960338592529,0.1397051215171814,0.5936599373817444,2.2662434577941895
22,0.9634652733802795,0.10507337003946304,0.590778112411499,2.157799005508423
23,0.9651259183883667,0.10132859647274017,0.5677233338356018,2.2200992107391357
24,0.9609742760658264,0.11734934896230698,0.5648415088653564,2.2042434215545654
