epoch,accuracy,loss,val_accuracy,val_loss
0,0.3603653609752655,1.3310972452163696,0.4438040256500244,1.2766032218933105
1,0.6451702117919922,0.9892954230308533,0.6657060384750366,0.9338059425354004
2,0.792969822883606,0.5796102285385132,0.6945244669914246,0.7839928865432739
3,0.8499861359596252,0.4137378931045532,0.6974063515663147,0.7771549224853516
4,0.8790478706359863,0.3294602334499359,0.6916426420211792,0.8303475975990295
5,0.9075560569763184,0.2606089413166046,0.6858789920806885,0.8786723017692566
6,0.9302518963813782,0.2145950347185135,0.6570605039596558,0.9500550627708435
7,0.9438139796257019,0.17977167665958405,0.6714697480201721,0.9928739070892334
8,0.9529476761817932,0.15177448093891144,0.6887608170509338,1.0530979633331299
9,0.9640188217163086,0.12891189754009247,0.6829971075057983,1.1290432214736938
10,0.9651259183883667,0.11627496778964996,0.6743515729904175,1.1650069952011108
11,0.9709382653236389,0.1044999435544014,0.6829971075057983,1.2243987321853638
12,0.9695543646812439,0.10436543077230453,0.6829971075057983,1.27531099319458
13,0.975089967250824,0.08991002291440964,0.6916426420211792,1.3051906824111938
14,0.972875714302063,0.08713676035404205,0.6829971075057983,1.3458539247512817
15,0.9748131632804871,0.07859428972005844,0.6887608170509338,1.4197120666503906
16,0.975089967250824,0.0769689753651619,0.6772334575653076,1.4169410467147827
17,0.9767506122589111,0.06755676865577698,0.6945244669914246,1.4446405172348022
18,0.9789648652076721,0.06674525886774063,0.6743515729904175,1.4728341102600098
19,0.9792416095733643,0.0641021579504013,0.6772334575653076,1.4834177494049072
20,0.9786880612373352,0.06631910055875778,0.6743515729904175,1.5274074077606201
21,0.9800719618797302,0.05827008932828903,0.6916426420211792,1.5703150033950806
22,0.9789648652076721,0.06332844495773315,0.6858789920806885,1.5694464445114136
23,0.9786880612373352,0.0582754984498024,0.6829971075057983,1.582405924797058
24,0.9784113168716431,0.058033719658851624,0.6974063515663147,1.6108732223510742
